Line Ref. No.,Billing Organization,NYISO Name,Zone,PTID,Town,County,State,In-Service Date,Name Plate Rating (MW),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Dual Fuel,Unit Type,Fuel Type (primary),Fuel Type (secondary),2018 Net Energy (GWh),Latitude,Longitude
R1393,NRG Power Marketing LLC,Oswego IC 3,C,5054,Oswego,75,36,07/01/1980,0.8,0,0,0,0,,Internal Combustion,Fuel Oil 2,,0,,
R1331,Long Island Power Authority,Oyster Bay (LF),K,5009,Bethpage,59,36,07/01/1986,1.3,0,0,0,0,,Internal Combustion,Methane,,0,,
R1472,Long Island Power Authority,Port Jefferson GT 01,K,23713,Port Jefferson,103,36,12/01/1966,16,14.1,18.4,12.2,15.7,,Combustion Turbine,Fuel Oil 2,,-0.1,,
R1506,"Helix Ravenswood, LLC",Ravenswood 01,J,23729,Queens,81,36,07/01/1967,18.6,8.8,11.5,7.8,6.4,,Combustion Turbine,Natural Gas,,0.2,40.7585,-73.9451
R1444,"Helix Ravenswood, LLC",Ravenswood 10,J,24258,Queens,81,36,08/01/1970,25,21.2,27,16.7,23.7,YES,Jet Engine,Kerosene,Natural Gas,2.1,40.7585,-73.9451
R1327,"Helix Ravenswood, LLC",Ravenswood 11,J,24259,Queens,81,36,08/01/1970,25,20.2,25.7,16.7,24.4,YES,Jet Engine,Kerosene,Natural Gas,2.6,40.7585,-73.9451
R1608,Long Island Power Authority,S Hampton 1,K,23720,South Hampton,103,36,03/01/1963,11.5,10.3,13.5,8.8,11.9,,Combustion Turbine,Fuel Oil 2,,1.5,40.899997,-72.381977
R1423,"Seneca Energy II, LLC",Seneca Energy 1,C,23797,Seneca Falls,99,36,03/01/1996,8.8,8.8,8.8,8.8,8.8,,Internal Combustion,Methane,,106.6,,
R1471,"Seneca Energy II, LLC",Seneca Energy 2,C,23797,Seneca Falls,99,36,08/01/1997,8.8,8.8,8.8,8.8,8.8,,Internal Combustion,Methane,,0,,
R1437,Long Island Power Authority,Shoreham 1,K,23715,Shoreham,103,36,07/01/1971,52.9,48.9,63.9,0,64.5,,Combustion Turbine,Fuel Oil 2,,1.8,40.9572,-72.8664
R1551,Long Island Power Authority,Shoreham 2,K,23716,Shoreham,103,36,04/01/1984,18.6,18.5,23.5,16.6,22.1,,Jet Engine,Fuel Oil 2,,0.6,40.9572,-72.8664
R1438,Long Island Power Authority,Smithtown (LF),K,5010,Smithtown,103,36,12/01/1985,1.1,0,0,0,0,,Internal Combustion,Methane,,0,,
R1664,Central Hudson Gas & Elec. Corp.,South Cairo,G,23612,Cairo,39,36,06/01/1970,21.6,19.8,25.9,18.6,23.4,,Combustion Turbine,Kerosene,,0.3,42.291275,-73.986452
R1665,Long Island Power Authority,South Oaks Hosp,K,5011,Amityville,103,36,06/01/1990,1,0,0,0,0,,Internal Combustion,Natural Gas,,0,,
R1663,Long Island Power Authority,Southold 1,K,23719,Southold,103,36,08/01/1964,14,12.3,16.1,10,13.1,,Combustion Turbine,Fuel Oil 2,,1.8,41.1059,-72.3761
R1583,Niagara Mohawk Power Corp.,St. Elizabeth Medical Center,E,23633,Utica,65,36,02/01/2012,0.6,0,0,0,0,,Internal Combustion,Natural Gas,,0.4,43.082104,-75.2661
R1619,"Innovative Energy Systems, Inc.",Steuben County LF,C,323667,Bath,101,36,08/01/2012,3.2,3.2,3.2,3.2,3.2,,Internal Combustion,Methane,,16.6,,
R1614,Niagara Mohawk Power Corp.,Sustainable Bioelectric LLC,A,23774,Wheatfield,63,36,03/01/2014,0.6,0,0,0,0,,Internal Combustion,Methane,,0.9,,
R1591,"Exelon Generation Company, LLC",Synergy Biogas,B,323694,Wyoming,121,36,09/01/2012,2,2,2,0,0,,Internal Combustion,Methane,,3.1,,
R1492,Niagara Mohawk Power Corp.,Tri-City JATC,F,23643,Latham,1,36,11/01/2009,0,0,0,0,0,,Internal Combustion,Natural Gas,,0,,
R1542,"Wheelabrator Hudson Falls, LLC",Wheelabrator Hudson Falls,F,23798,Hudson Falls,115,36,10/01/1991,14.4,12.7,12.7,10.5,11,,Steam Turbine,Refuse,,76.8,,
R1561,"Wheelabrator Westchester, LP",Wheelabrator Westchester,H,23653,Peekskill,119,36,04/01/1984,59.7,53.5,53.5,52,51.6,,Steam Turbine,Refuse,,392,,
R1625,Long Island Power Authority,Yaphank (LF),K,5012,Yaphank,103,36,09/01/1983,1.6,1.5,1.5,0,0,,Internal Combustion,Methane,,0,,
