NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM
"Harlem River 1",24160,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,43,22,0.508333333333333,5.08333333333333,15.25,30.5,23.7421260707598,-569.218006564006,0.871933541808522,0.202458504308644,9.17730169328313,-313.279337744296,0.873357471223834,1
"Harlem River 2",24161,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,43,22,0.458333333333333,4.58333333333333,13.75,27.5,24.1966979332702,-614.041416902787,0.862642545935696,0.444523690861208,-8.33676641918878,-32.095907267095,0.869526036470499,1
"Vernon Blvd 3",24163,J,Combustion Turbine,Natural Gas,40.7539,-73.9506,42,21,0.491666666666667,4.91666666666667,14.75,29.5,21.7916279270483,-498.164689992029,0.888685682600376,0.367916026234076,-3.80084931473923,-64.3990280972178,0.89571608223289,1
"Brentwood",24164,K,Combustion Turbine,Natural Gas,40.787,-73.2933,49,29,0.516666666666667,5.16666666666667,15.5,31,21.7051486954872,-559.392764658866,0.888046473904294,-0.0959764821163648,29.5311483553602,-716.078714767547,0.88840656341101,1
"Port Jefferson GT 02",24210,K,Combustion Turbine,Natural Gas,40.9503,-73.0786,48,14,0.658333333333333,6.58333333333333,19.75,39.5,13.2298469185134,-147.542672295709,0.944383401850668,-0.0407209517938506,15.8196246578321,-183.023242788504,0.944858103196083,1
"Port Jefferson GT 03",24211,K,Combustion Turbine,Natural Gas,40.9503,-73.0786,49,15,0.641666666666667,6.41666666666667,19.25,38.5,12.5115997916516,-144.429529513078,0.894700616416336,-0.0678512423896331,16.8539461175829,-205.455287857185,0.896248898602301,1
"Shoreham GT4",24214,K,Combustion Turbine,Fuel Oil 2,40.9572,-72.8664,49,10.1,0.566666666666667,5.66666666666667,17,34,16.924613224961,-342.166461313318,0.814231472648812,0.454243232957937,-13.2036643537869,123.355245190334,0.879536186366974,1
"Pilgrim GT1",24216,K,Combustion Turbine,Natural Gas,40.7861,-73.2931,47,26,0.525,5.25,15.75,31.5,22.6315267354691,-554.086478331867,0.792322816141588,-0.487720973429317,59.4211900601631,-1235.02610021392,0.804738363652569,1
"Pilgrim GT2",24217,K,Combustion Turbine,Natural Gas,40.7861,-73.2931,48,24.8,0.55,5.5,16.5,33,23.007333517697,-561.920114900211,0.874645147087691,-0.361977372340347,50.1885815200187,-1059.26868571168,0.882629375803495,1
"Glenwood GT 04",24219,K,Combustion Turbine,Natural Gas,40.8275,-73.6478,49,2,0.775,7.75,23.25,46.5,10.6583056830733,-53.1817153849309,0.961829851005087,0.0879738564204489,5.71402129914315,-8.49434014060062,0.969621452546495,1
"Glenwood GT 05",24220,K,Combustion Turbine,Natural Gas,40.8275,-73.6478,50,3,0.775,7.75,23.25,46.5,10.6292270099471,-48.3802581698504,0.96607477551609,0.0799476239791857,6.19927649219677,-9.98578929443598,0.972017157965017,1
"East River 1",323558,J,Combined Cycle,Natural Gas,40.7281,-73.9742,223,97,2.28333333333333,22.8333333333333,68.5,137,7.8445356733122,421.588969443808,0.993617566113084,0.00813573988775227,5.29750960823797,611.070303591148,0.99466923276217,1
"East River 2",323559,J,Combined Cycle,Natural Gas,40.7281,-73.9742,227,86,2.025,20.25,60.75,121.5,7.69606645094394,439.309163181529,0.981509487155449,0.00635554898394946,5.76763125997039,576.080404095512,0.982273527128161,1
"Pinelawn Power 1",323563,K,Combined Cycle,Natural Gas,40.7358,-73.3881,81,39,0.625,6.25,18.75,37.5,7.33363416716029,41.2306081501056,0.907906013349206,0.0877418447947304,-2.80153358372014,327.550896704195,0.936668488367292,1
"Bethpage 3",323564,K,Combined Cycle,Natural Gas,40.7469,-73.4994,83,34,0.875,8.75,26.25,52.5,7.84876120257267,28.4292135113593,0.957207454894706,0.108178811867801,-5.24610588551317,405.663762562887,0.994220747376415,1
"Astoria CC 1",323568,J,Combined Cycle,Natural Gas,40.7881,-73.9056,318,134,2.65833333333333,26.5833333333333,79.75,159.5,5.08025596181705,389.993639590844,0.943299055721237,-0.000412115812245911,5.23959102830162,375.381733739124,0.943296981191941,1
"Astoria CC 2",323569,J,Combined Cycle,Natural Gas,40.7881,-73.9056,320,137,2.46666666666667,24.6666666666667,74,148,5.22187862114089,352.107584273198,0.900642568169025,-0.00118376722935257,5.69201642643203,307.546790947649,0.900673953305713,1
"Bethlehem Energy Center",323570,F,Combined Cycle,Natural Gas,42.5905,-73.7636,618,124,6,60,180,360,9.73967177329591,272.953923952543,0.974360476759132,-0.00683790188248863,14.700278394894,-496.908216948358,0.981824483617042,1
