NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM
"Ravenswood ST 03",23535,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,392,1,2.78333333333333,27.8333333333333,83.5,167,8.89160225979277,234.160397754867,0.993913598572665,0.00278224041628652,7.81315902933134,307.225650097703,0.994536821601534,1
"Somerset",23543,A,Steam Turbine,Coal,43.3561,-78.6039,731,80.4,5.39166666666667,53.9166666666667,161.75,323.5,7.54029268596251,625.054597733666,0.993683758824341,0.00201150359691224,5.84192871231443,889.003411944703,0.994794514770761,1
"Barrett ST 01",23545,K,Steam Turbine,Natural Gas,40.6169,-73.6486,209,49,2.25833333333333,22.5833333333333,67.75,135.5,10.0460127752549,66.9146682292773,0.996522289085827,0.00327773975743469,9.20398808191736,113.530806909293,0.996647943680433,1
"Barrett ST 02",23546,K,Steam Turbine,Natural Gas,40.6169,-73.6486,201,48,1.425,14.25,42.75,85.5,9.82333225973252,53.410892996189,0.994969606652332,0.00422677721627286,8.77500482321588,108.999653688885,0.995156343292117,1
"Wading River 2",23547,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,94,7.8,1.35,13.5,40.5,81,13.3811030157705,-32.7782671568062,0.981323150992315,-0.0270350021732284,15.9573507270142,-73.2067515828127,0.9828887032165,1
"Northport 1",23551,K,Steam Turbine,Natural Gas,40.9231,-73.3417,410,108,4.425,44.25,132.75,265.5,9.33966185704613,163.910908659322,0.995060511916506,-0.000102463075839927,9.38917315243864,158.984802552029,0.995057872196488,1
"Northport 2",23552,K,Steam Turbine,Natural Gas,40.9231,-73.3417,410,111,2.575,25.75,77.25,154.5,9.76893123755004,192.313502918411,0.993315183090421,-0.00212719054520516,10.8190974471323,84.6067307975994,0.993484254024259,1
"Northport 3",23553,K,Steam Turbine,Natural Gas,40.9231,-73.3417,411,109,2.575,25.75,77.25,154.5,9.34536380879158,170.039483783439,0.996592077752841,0.00102059194911116,8.84596025837918,220.457406046333,0.996635792801507,1
"Port Jefferson 3",23555,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,201,45,1.425,14.25,42.75,85.5,9.6358961235617,61.4245061865855,0.872331898108653,0.0286749215324461,3.06850992082511,347.511045536788,0.881297077666394,1
"Greenidge 4",23583,C,Steam Turbine,Natural Gas,42.6789,-76.9483,113,36,1.03333333333333,10.3333333333333,31,62,10.4889316995285,25.5941247075573,0.904116112234649,0.050039358348098,3.46866704488271,225.097231441855,0.90871767573969,1
"Cayuga 1",23584,C,Steam Turbine,Coal,42.6028,-76.6336,166,59,1.26666666666667,12.6666666666667,38,76,9.3187445443719,110.794223426578,0.994675913261274,-0.00373086075315791,10.0953561051368,77.0218387351173,0.994749268194876,1
"Danskammer 1",23586,G,Steam Turbine,Natural Gas,41.573,-73.9646,74,7,0.65,6.5,19.5,39,12.1540817879511,74.8963352000327,0.919845630317407,0.0798448901400075,4.61571064320623,212.88557764082,0.926364392582896,1
"Roseton 1",23587,G,Steam Turbine,Fuel Oil 6,41.5711,-73.9739,622,30.3,4.125,41.25,123.75,247.5,9.07993503154018,323.379328513523,0.993611531446461,0.00106049770401904,8.32060719871298,422.447388817129,0.993874136619308,1
"Roseton 2",23588,G,Steam Turbine,Fuel Oil 6,41.5711,-73.9739,635,30.8,4.19166666666667,41.9166666666667,125.75,251.5,8.4432487369897,443.047398733523,0.944701400357354,0.0015329227788939,7.45026773278128,568.770397235327,0.945619557325949,1
"Danskammer 2",23589,G,Steam Turbine,Natural Gas,41.573,-73.9646,70,7.75,0.733333333333333,7.33333333333333,22,44,11.3539796437659,86.5767989821878,0.871739476543738,0.0580510102796638,6.14950178896324,176.852068752065,0.870670103730407,1
"Danskammer 3",23590,G,Steam Turbine,Natural Gas,41.573,-73.9646,147,3.85,1.20833333333333,12.0833333333333,36.25,72.5,8.4164987638172,164.574303150405,0.958350449276202,0.0104626930523415,6.5942053484359,215.869991317347,0.958496386854521,1
"Danskammer 4",23591,G,Steam Turbine,Natural Gas,41.573,-73.9646,243,4.9,1.825,18.25,54.75,109.5,7.6345446273252,197.544097174496,0.978263782829012,-0.00133140597465302,7.987660362826,182.032244213356,0.977459205428894,1
"Bowline 2",23595,G,Steam Turbine,Natural Gas,41.2044,-73.9689,593,83.4,4.9,49,147,294,9.99248448830143,303.809240262925,0.994178771284777,0.00414316818812351,7.15207399609089,654.270796395914,0.995992918749848,1
"Wading River 3",23601,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,94,4,1.33333333333333,13.3333333333333,40,80,12.1540829120095,-11.6010419124368,0.822005195314755,-0.0222688338034953,14.1907886519736,-39.2502933956728,0.821056655838491,1
"Oswego 5",23606,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,866,39.15,4.16666666666667,41.6666666666667,125,250,8.92219992305544,684.698417079831,0.986416413064974,0.00201432782496347,7.0186287010666,950.417370840741,0.987807410484003,1
"Oswego 6",23613,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,862,25.45,4.025,40.25,120.75,241.5,8.98290027272173,568.715084124254,0.997444335797688,0.000193177051784833,8.79903396282119,595.813155909643,0.997409500572195,1
"Port Jefferson 4",23616,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,204,45,1.46666666666667,14.6666666666667,44,88,9.72319879995162,147.861753776532,0.992131323793821,0.00197847874744921,9.28080128290757,165.61067750286,0.992166134272293,1
"Hillburn GT",23639,G,Jet Engine,Natural Gas,41.1269,-74.1653,37,1,0.491666666666667,4.91666666666667,14.75,29.5,13.3844379292374,-3.14649949620712,0.806390838351852,0.536799220045874,-4.40110753467481,46.007038479958,0.897076210461759,1
