month,day,hour,FuelCategory,GroupCount,mean_TimeStamp,mean_GenMW
1,3,6,Hydro,12,01/03/2019 06:27:30,3350.91666666667
1,3,6,Natural Gas,12,01/03/2019 06:27:30,2210.33333333333
1,3,6,Nuclear,12,01/03/2019 06:27:30,5424.75
1,3,6,Other Fossil Fuels,12,01/03/2019 06:27:30,0
1,3,6,Other Renewables,12,01/03/2019 06:27:30,264.666666666667
1,3,6,Wind,12,01/03/2019 06:27:30,724.166666666667
1,3,7,Dual Fuel,12,01/03/2019 07:27:30,3273.08333333333
1,3,7,Hydro,12,01/03/2019 07:27:30,3908.16666666667
1,3,7,Natural Gas,12,01/03/2019 07:27:30,2647.66666666667
1,3,7,Nuclear,12,01/03/2019 07:27:30,5427.33333333333
1,3,7,Other Fossil Fuels,12,01/03/2019 07:27:30,0
1,3,7,Other Renewables,12,01/03/2019 07:27:30,266.583333333333
1,3,7,Wind,12,01/03/2019 07:27:30,744.083333333333
1,3,8,Dual Fuel,12,01/03/2019 08:27:30,3360.41666666667
1,3,8,Hydro,12,01/03/2019 08:27:30,4003.33333333333
1,3,8,Natural Gas,12,01/03/2019 08:27:30,3071
1,3,8,Nuclear,12,01/03/2019 08:27:30,5427.83333333333
1,3,8,Other Fossil Fuels,12,01/03/2019 08:27:30,0
1,3,8,Other Renewables,12,01/03/2019 08:27:30,265.583333333333
1,3,8,Wind,12,01/03/2019 08:27:30,556.666666666667
1,3,9,Dual Fuel,12,01/03/2019 09:27:30,3393.5
1,3,9,Hydro,12,01/03/2019 09:27:30,3971.16666666667
1,3,9,Natural Gas,12,01/03/2019 09:27:30,3141.91666666667
1,3,9,Nuclear,12,01/03/2019 09:27:30,5427.75
1,3,9,Other Fossil Fuels,12,01/03/2019 09:27:30,0
1,3,9,Other Renewables,12,01/03/2019 09:27:30,269.083333333333
1,3,9,Wind,12,01/03/2019 09:27:30,462.416666666667
1,3,10,Dual Fuel,12,01/03/2019 10:27:30,3237.83333333333
